utterance,intent
"à qui s'adresser pour obtenir une attestation de déplacement ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"Peut-on quitter le travail après le début du couvre feu ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"Y a t il des dérogations pour rentrer chez soi après le couvre feu ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"Y a t il des mesures sanitaires à prendre pendant les pauses café ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"j'ai besoin d'un café !",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"j'aimerais bien boire un café avec les collègues",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"je peux prendre un café avec d'autres agents ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"le café du matin est il toujours possible ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"puis je prendre un café avec mes collègues ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"Quelles sont les règles pour prendre le café avec les collègues ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"je ne sais pas si je peux boire le thé avec les collègues malgré le covid",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"est il possible de faire une pause à la machine à café ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"il n'y a plus de pause café avec les collègues depuis le covid",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"Il faut demander à qui pour les consignes concernant les pauses café ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"Les pauses café sont elles autorisées malgré le covid ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"Je voudrais prendre les pauses café pendant ma journée de travail",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"où peut-on trouver les consignes relatives aux pauses café ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"c'est quoi les mesures sanitaires pour la prise de café ?",covid---puis-je-prendre-un-cafe-avec-mes-collegues--
"c'est quoi les mesures pour les agents ayant un risque de développer une forme grave ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"je suis une personne à risque",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"à qui m'adresser si j'ai des facteurs de comorbidité avec le covid ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"j'ai un risque de développer une forme grave du virus",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"Quelles sont les consignes pour les employés à risque sanitaire ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"Que faut-il faire si on est un agent à haut risque ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"je ne sais pas quoi faire car je partage le foyer d'une personne vulnérable",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"puis je faire plus de télétravail si je vis avec une personne à risque ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"Y a t il une démarche à faire pour se déclarer personne vulnérable ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"étant identifié personne vulnérable, quelles sont les règles pour les absences ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"Quelles sont les mesures pour les personnes vulnérables ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"Quel est le dispositif pour les agents dits vulnérables ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"mon conjoint est une personne à risque",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"je vis avec une personne vulnérable au covid",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"je suis une personne à risque, je peux faire plus de télétravail ?",covid---quel-est-le-dispositif-pour-les-agents-dits-vulnerables--
"Comment j'accède à la documentation sur les marches à suivre ?",covid---retrouver-tous-les-modes-operatoires
"ça se trouve où les modes opératoires ?",covid---retrouver-tous-les-modes-operatoires
"c'est quoi le protocole pour l'auto partage de véhicule",covid---retrouver-tous-les-modes-operatoires
"ils se trouvent où sur l'intranet les pdf des modes opé ?",covid---retrouver-tous-les-modes-operatoires
"j'ai besoin d'accéder à l'ensemble des modes opératoires",covid---retrouver-tous-les-modes-operatoires
"je n'ai pas encore lu un protocole sanitaire",covid---retrouver-tous-les-modes-operatoires
"je n'arrive plus à remettre la main sur un mode opératoire",covid---retrouver-tous-les-modes-operatoires
"où puis je retrouver tous les protocoles sanitaires du département ?",covid---retrouver-tous-les-modes-operatoires
"je voudrais retrouver les documents qui décrivent les protocoles sanitaires au département",covid---retrouver-tous-les-modes-operatoires
"je ne sais pas où consulter les protocoles",covid---retrouver-tous-les-modes-operatoires
"où trouver tous les protocoles sanitaires sur l'intranet ?",covid---retrouver-tous-les-modes-operatoires
"retrouver tous les modes opératoires",covid---retrouver-tous-les-modes-operatoires
"Dans quels dossiers sont stockés toutes les procédures à suivre ?",covid---retrouver-tous-les-modes-operatoires
"Indique moi où trouver de la documentation",covid---retrouver-tous-les-modes-operatoires
"à quel endroit se trouve les modes opératoires ?",covid---retrouver-tous-les-modes-operatoires
